Region,County_code,County
1,1,Adams
2,2,Alexander
3,3,Bond
4,4,Boone
46,5,Brown
28,6,Bureau
40,7,Calhoun
8,8,Carroll
46,9,Cass
9,10,Champaign
10,11,Christian
11,12,Clark
12,13,Clay
13,14,Clinton
11,15,Coles
5,16,Cook
12,17,Crawford
11,18,Cumberland
16,19,DeKalb
17,20,De Witt
11,21,Douglas
19,22,DuPage
11,23,Edgar
20,24,Edwards
3,25,Effingham
3,26,Fayette
9,27,Ford
21,28,Franklin
22,29,Fulton
20,30,Gallatin
40,31,Greene
24,32,Grundy
25,33,Hamilton
26,34,Hancock
20,35,Hardin
27,36,Henderson
28,37,Henry
32,38,Iroquois
30,39,Jackson
12,40,Jasper
25,41,Jefferson
40,42,Jersey
8,43,Jo Daviess
2,44,Johnson
31,45,Kane
32,46,Kankakee
24,47,Kendall
33,48,Knox
34,49,Lake
35,50,LaSalle
12,51,Lawrence
47,52,Lee
17,53,Livingston
38,54,Logan
39,55,Macon
40,56,Macoupin
41,57,Madison
13,58,Marion
43,59,Marshall
38,60,Mason
2,61,Massac
26,62,McDonough
44,63,McHenry
17,64,McLean
38,65,Menard
27,66,Mercer
45,67,Monroe
10,68,Montgomery
46,69,Morgan
11,70,Moultrie
47,71,Ogle
48,72,Peoria
30,73,Perry
39,74,Piatt
1,75,Pike
20,76,Pope
2,77,Pulaski
43,78,Putnam
45,79,Randolph
12,80,Richland
49,81,Rock Island
50,82,St. Clair
20,83,Saline
51,84,Sangamon
22,85,Schuyler
46,86,Scott
11,87,Shelby
28,88,Stark
8,89,Stephenson
53,90,Tazewell
2,91,Union
54,92,Vermilion
20,93,Wabash
27,94,Warren
13,95,Washington
20,96,Wayne
20,97,White
55,98,Whiteside
56,99,Will
21,100,Williamson
4,101,Winnebago
43,102,Woodford
60,105,Dept of Juvenile
65,108,Other State
